ensayo,condicion,clase_esperada,mano_detectada,clase_predicha,confianza,comando_emitido
5,normal,4,1,4,72.57553339004517,-1
5,normal,4,1,4,74.27071332931519,-1
5,normal,4,1,4,72.57553339004517,-1
5,normal,4,1,4,78.53865027427673,-1
5,normal,4,1,4,81.9796085357666,-1
5,normal,4,1,4,78.44229340553284,-1
5,normal,4,1,4,84.658282995224,-1
5,normal,4,1,4,81.7947506904602,-1
5,normal,4,1,4,81.9796085357666,-1
5,normal,4,1,4,81.87945485115051,-1
5,normal,4,1,4,81.87945485115051,-1
5,normal,4,1,4,81.87945485115051,-1
5,normal,4,1,4,78.53865027427673,-1
5,normal,4,1,4,81.87945485115051,-1
5,normal,4,1,4,81.87945485115051,-1
5,normal,4,1,4,81.87945485115051,-1
5,normal,4,1,4,80.55460453033447,-1
5,normal,4,1,4,80.1749050617218,-1
5,normal,4,1,4,77.58447527885437,-1
5,normal,4,1,4,79.17726039886475,-1
6,lejos,0,0,-1,0.0,-1
6,lejos,0,1,0,97.68749475479126,-1
6,lejos,0,1,0,92.34936237335205,-1
6,lejos,0,1,0,98.94550442695618,-1
6,lejos,0,1,0,98.80812168121338,-1
6,lejos,0,1,0,98.32987189292908,-1
6,lejos,0,1,0,98.28804135322571,-1
6,lejos,0,1,0,98.29782843589783,-1
6,lejos,0,1,0,98.94099235534668,-1
6,lejos,0,1,0,98.84136319160461,-1
6,lejos,0,1,0,98.80917072296143,-1
6,lejos,0,1,0,97.3808228969574,-1
6,lejos,0,1,0,98.45573902130127,-1
6,lejos,0,1,0,97.08534479141235,-1
6,lejos,0,1,0,97.08534479141235,-1
6,lejos,0,1,0,97.08534479141235,-1
6,lejos,0,1,0,96.61644697189331,-1
6,lejos,0,1,0,96.43126726150513,-1
6,lejos,0,1,0,98.61862659454346,-1
6,lejos,0,1,0,98.3091652393341,-1
6,lejos,0,1,0,97.47360944747925,-1
6,lejos,0,1,0,99.54289197921753,-1
6,lejos,0,1,0,99.42240118980408,-1
6,lejos,0,1,0,98.33620190620422,-1
6,lejos,0,1,0,98.8413393497467,-1
6,lejos,0,1,0,98.821622133255,-1
6,lejos,0,1,0,99.3245780467987,-1
6,lejos,0,1,0,99.36715364456177,-1
6,lejos,0,1,0,99.34535026550293,-1
6,lejos,0,1,0,99.34535026550293,-1
6,lejos,0,1,0,99.61381554603577,-1
6,lejos,0,1,0,99.1000235080719,-1
6,lejos,0,1,0,99.44512248039246,-1
6,lejos,0,1,0,99.13963675498962,-1
6,lejos,0,1,0,99.18076395988464,-1
6,lejos,0,1,0,99.69393014907837,-1
6,lejos,0,1,0,99.55737590789795,-1
6,lejos,0,1,0,99.60042834281921,-1
6,lejos,0,1,0,99.64078068733215,-1
6,lejos,0,1,0,99.5717465877533,-1
6,lejos,0,1,0,99.3861198425293,-1
6,lejos,0,1,0,99.57129955291748,-1
6,lejos,0,1,0,99.57238435745239,-1
6,lejos,0,1,0,99.46308135986328,-1
6,lejos,0,1,0,99.76894855499268,-1
6,lejos,0,1,0,99.78066086769104,-1
6,lejos,0,1,0,99.73772764205933,-1
6,lejos,0,1,0,99.68903660774231,-1
6,lejos,0,1,0,99.65701103210449,-1
6,lejos,0,1,0,99.77839589118958,-1
6,lejos,0,1,0,99.71756935119629,-1
6,lejos,0,1,0,99.72055554389954,-1
6,lejos,0,1,0,99.80306029319763,-1
6,lejos,0,1,0,99.58523511886597,-1
6,lejos,0,1,0,99.68971014022827,-1
6,lejos,0,1,0,99.649977684021,-1
6,lejos,0,1,0,99.69629645347595,-1
6,lejos,0,1,0,99.70081448554993,-1
6,lejos,0,1,0,99.63194131851196,-1
6,lejos,0,1,0,99.76108074188232,-1
6,lejos,0,1,0,99.64050054550171,-1
6,lejos,0,1,0,99.64050054550171,-1
6,lejos,0,1,0,99.61344003677368,-1
6,lejos,0,1,0,99.61960315704346,-1
6,lejos,0,1,0,99.64774250984192,-1
6,lejos,0,1,0,99.65245127677917,-1
6,lejos,0,1,0,99.08682107925415,-1
6,lejos,0,1,0,99.51565265655518,-1
6,lejos,0,1,0,99.60247278213501,-1
6,lejos,0,1,0,99.43681359291077,-1
6,lejos,0,1,0,99.34754967689514,-1
6,lejos,0,1,0,98.9492416381836,-1
6,lejos,0,1,0,99.16885495185852,-1
6,lejos,0,1,0,99.10786747932434,-1
6,lejos,0,1,0,98.88710379600525,-1
6,lejos,0,1,0,99.21188354492188,-1
6,lejos,0,1,0,99.16279315948486,-1
6,lejos,0,1,0,99.08120036125183,-1
6,lejos,0,1,0,98.83790016174316,-1
6,lejos,0,1,0,98.98495674133301,-1
6,lejos,0,1,0,99.57491159439087,-1
6,lejos,0,1,0,99.55647587776184,-1
6,lejos,0,1,0,99.6320128440857,-1
6,lejos,0,1,0,99.47378039360046,-1
6,lejos,0,1,0,98.93269538879395,-1
6,lejos,0,1,0,99.30976033210754,-1
6,lejos,0,1,0,99.3089497089386,-1
6,lejos,0,1,0,99.42359328269958,-1
7,lejos,1,1,1,88.98757100105286,-1
7,lejos,1,1,1,90.85437655448914,-1
7,lejos,1,1,1,91.34941101074219,-1
7,lejos,1,1,1,90.60226082801819,-1
7,lejos,1,1,1,88.90364170074463,-1
7,lejos,1,1,1,90.06945490837097,-1
7,lejos,1,1,1,88.87710571289062,1
7,lejos,1,1,1,89.76904153823853,-1
7,lejos,1,1,1,89.86333012580872,-1
7,lejos,1,1,1,87.2808039188385,-1
7,lejos,1,1,1,90.40223956108093,-1
7,lejos,1,1,1,90.9105658531189,-1
7,lejos,1,1,1,85.17752289772034,-1
7,lejos,1,1,1,89.59120512008667,-1
7,lejos,1,1,1,90.19371271133423,-1
7,lejos,1,1,1,89.15160298347473,-1
7,lejos,1,1,1,89.13262486457825,-1
7,lejos,1,1,1,88.56757879257202,-1
7,lejos,1,1,1,87.89823651313782,-1
7,lejos,1,1,1,88.35992813110352,-1
7,lejos,1,1,1,87.55165934562683,-1
7,lejos,1,1,1,85.76540350914001,-1
7,lejos,1,1,1,90.26970267295837,-1
7,lejos,1,1,1,90.7304584980011,-1
7,lejos,1,1,1,89.33191299438477,-1
7,lejos,1,1,1,89.20820355415344,-1
7,lejos,1,1,1,91.46556854248047,-1
7,lejos,1,1,1,89.17455077171326,-1
7,lejos,1,1,1,90.42884111404419,-1
7,lejos,1,1,1,89.17455077171326,-1
7,lejos,1,1,1,88.02028894424438,-1
7,lejos,1,1,1,88.70083093643188,-1
7,lejos,1,1,1,88.88236284255981,-1
7,lejos,1,1,1,88.70083093643188,-1
7,lejos,1,1,1,87.31008172035217,-1
7,lejos,1,1,1,86.61962151527405,-1
7,lejos,1,1,1,89.5825445652008,-1
7,lejos,1,1,1,89.55726027488708,-1
7,lejos,1,1,1,86.32305860519409,-1
7,lejos,1,1,1,83.74278545379639,-1
7,lejos,1,1,1,81.51377439498901,-1
7,lejos,1,1,1,85.62571406364441,-1
